id;title;description;number_of_tasker_required;budget;start_date;status
1;withdrawal Avon rich;payment matrices payment;2129;41718;2022-06-17T23:21:46;DONE
2;Baby bifurcated;responsive Architect Stream;89756;87674;2022-06-18T04:46:58;EXPIRED
3;Designer Pakistan Licensed;Pizza synthesizing Pa'anga;34312;46770;2022-06-18T03:59:59;DONE
4;backing Shilling Movies;Tasty Handmade Orchestrator;37910;4490;2022-06-18T17:39:24;WAITING_FOR_CANDIDATE
5;Switchable Industrial;Western multi-tasking;26223;77196;2022-06-18T05:07:45;CANCELLED
6;Valley Chips methodical;metrics optimize Expanded;17553;51586;2022-06-18T07:37:14;CANCELLED
7;Refined compressing;Marino;55140;57651;2022-06-18T07:50:01;WAITING_FOR_CANDIDATE
8;Vision-oriented;Colombian Bike;40134;23882;2022-06-18T05:15:30;CANCELLED
9;Plastic Qatar card;magenta;28507;48354;2022-06-17T23:18:46;EXPIRED
10;definition;Franc PCI;43669;92523;2022-06-18T08:33:55;CANCELLED
